.,Status,Name,Index,Type,For,Address,Flags,Effects,Requirements,Description
,Ingame,MUSU,1,Misc,,,,,,Kamigotchi kurrency
,Ingame,Gacha Ticket,10,Misc,,,,,,"Redeemable for one Kami. You should take this to the vending machine… "
,Ingame,Reroll Ticket,11,Misc,,,,,,"Allows you to reroll a Kami once. You should take this to the vending machine… "
,Ingame,Kamigotchi World Passport (Yellow),20,NFT,,,,,,Your path to salvation during playtest. Your ticket to great fortunes.
,Ingame,ONYX,100,ERC20,,0x9D9c32921575Fd98e67E27C0189ED4b750Cb17C5,,,,Asphodel’s premium game currency. You want this. You want this so bad.
,Ingame,Screwdriver,201,Material,,,,,,For driving screws. May be of practical use….
,Ingame,Wooden Stick,1001,Material,,,,,,"Wood in its unprocessed form. Grows on trees. "
,Ingame,Stone,1002,Material,,,,,,"It’s just a stone. Can be used to get Stone. "
,Ingame,Plastic Bottle,1003,Material,,,,,,"Can be reprocessed into valuable raw Microplastics. "
,Ingame,Pine Cone,1004,Material,,,,,,"It’s a pine cone. 

Slightly sacred. "
,Ingame,Scrap Metal,1005,Material,,,,,,A small chunk of scrap metal. Maybe useful if processed.
,Ingame,Glass Jar,1006,Material,,,,,,"A somehow-unbroken jar of clear glass. "
,Ingame,Red Amber Crystal,1007,Material,,,,,,"A crystal of pure red amber, formed deep in the forest."
,Ingame,Black Poppy,1010,Material,,,,,,"You can’t tell whether it’s a very dark purple or actually black. A rare flower. "
,Ingame,Daffodil,1011,Material,,,,,,"A reflection of fallen Narcissus… Has its own uses and applications. "
,Ingame,Mint,1012,Material,,,,,,A herb with many applications. Not often found here….
,Ingame,Microplastics,1103,Material,,,,,,"Fine translucent powder. A promising new substance in hexerei. "
,Ingame,Pine Pollen,1104,Material,,,,,,"Some people think this is very good for you. "
,Ingame,Black Poppy Extract,1110,Material,,,,,,Useful alkaloids in a sticky black goo. One of the most ancient ingredients.
,Ingame,Essence of Daffodil,1111,Material,,,,,,"Poisonous to living things, but useful when making medicines and potions."
,Ingame,Shredded Mint,1112,Material,,,,,,Makes a cooling and relaxing tea. Also used in various magical applications.
,Ingame,Red Gakki Ribbon,11001,Revive,Kami,,,"STATE-RESTING,HP+10",,"Capable of raising a Kamigotchi from the dead. 

These ribbons are greatly prized…. "
