Name,Type,Items,Icons,Tiers,Weights,Drop Rates,Value,Nodes,Rollup
Drop Table 1,Item,"Cheeseburger (https://www.notion.so/Cheeseburger-1980220c38848170aae3c96fe154c10a?pvs=21), XP Candy (Small) (https://www.notion.so/XP-Candy-Small-1980220c38848122856efc5f2bb9d3f9?pvs=21), XP Candy (Medium) (https://www.notion.so/XP-Candy-Medium-1980220c388481dda12bfde19a3adb66?pvs=21), XP Candy (Large) (https://www.notion.so/XP-Candy-Large-1980220c3884815ba8decedd27eccce9?pvs=21), XP Candy (Huge) (https://www.notion.so/XP-Candy-Huge-1980220c38848152a466e9ab759f8628?pvs=21), Mint (https://www.notion.so/Mint-1980220c38848146832ce62e852b1ce4?pvs=21), Plastic Bottle (https://www.notion.so/Plastic-Bottle-1980220c38848175999ec55a5c7aacde?pvs=21), Screwdriver (https://www.notion.so/Screwdriver-1980220c388481f9ae9dcc9d0e000386?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/34c75407-cf8c-41a8-81b2-fe2697d6f4a7/cheeseburger_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/6b8e6dd2-b120-4bda-8f67-585b7b10f6d0/small_xp_candy_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/47f697e9-d9d6-4a0b-afa2-3546677b013a/medium_xp_candy_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/f9d33787-39aa-4bec-8899-891e7d3f34df/large_xp_candy_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/73963a1e-b815-4dd3-8df2-2b1c17f31cf2/huge_xp_candy_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/d2fb3c5a-b076-4672-97e6-9770c108bff3/mint_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/09211a16-6f2b-42e1-910a-85b7f4b0c7b2/plastic_bottle_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/1ba78ad6-2fab-4125-b05e-7982faa27d35/screwdriver_native.png","9, 9, 8, 7, 6, 3, 3, 2","256,256,128,64,32,4,4,2","34.32%,34.32%,17.16%,8.58%,4.29%,0.54%,0.54%,0.27%",,,"Uncommon,Uncommon,Uncommon,Uncommon,Rare,Epic,Uncommon,Epic"
Drop Table 2,Item,"Kamigotchi World Passport (Yellow) (https://www.notion.so/Kamigotchi-World-Passport-Yellow-1980220c388481788a6cfe81b68e6525?pvs=21), Kamigotchi World Passport (Orange) (https://www.notion.so/Kamigotchi-World-Passport-Orange-1b20220c388480a1989fd433aad3e9d6?pvs=21), Kamigotchi World Passport (Pink) (https://www.notion.so/Kamigotchi-World-Passport-Pink-1b20220c388480cbaff1c31969c94cf0?pvs=21), Kamigotchi World Passport (Red) (https://www.notion.so/Kamigotchi-World-Passport-Red-1b20220c3884803d9c22c98cc7c462c0?pvs=21), Kamigotchi World Passport (Blue) (https://www.notion.so/Kamigotchi-World-Passport-Blue-1b20220c388480f6880de16b3984e291?pvs=21), Kamigotchi World Passport (Green) (https://www.notion.so/Kamigotchi-World-Passport-Green-1b20220c388480619083e16f9a44270a?pvs=21), Kamigotchi World Passport (White) (https://www.notion.so/Kamigotchi-World-Passport-White-1b20220c388480c28f30fded2b086142?pvs=21), Kamigotchi World Passport (Grey) (https://www.notion.so/Kamigotchi-World-Passport-Grey-1b20220c38848072a1b5ed99ac0b84a6?pvs=21), Kamigotchi World Passport (Purple) (https://www.notion.so/Kamigotchi-World-Passport-Purple-1b20220c388480dea3d8e323c57083c3?pvs=21), Kamigotchi World Passport (Lime Green) (https://www.notion.so/Kamigotchi-World-Passport-Lime-Green-1b20220c388480c1af6cf691089e5be5?pvs=21), Kamigotchi World Passport (1-bit Red and White) (https://www.notion.so/Kamigotchi-World-Passport-1-bit-Red-and-White-1b20220c38848068a683ea6f23c2a2ab?pvs=21), Kamigotchi World Passport (1-bit Pink) (https://www.notion.so/Kamigotchi-World-Passport-1-bit-Pink-1b20220c388480109c8bee43b8869ee4?pvs=21), Kamigotchi World Passport (1-bit Green) (https://www.notion.so/Kamigotchi-World-Passport-1-bit-Green-1b20220c388480c2be32d3765b258674?pvs=21), Kamigotchi World Passport (1-bit Black and White) (https://www.notion.so/Kamigotchi-World-Passport-1-bit-Black-and-White-1b20220c388480a59676c46458c044a0?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/6c03875a-2cd8-425f-a8c9-522f794f2fc1/passport_yellow.png,attachment:37579a95-0de4-42e5-84be-c50cbb210c64:passport_orange.png,attachment:919f5813-85c8-4ed2-92c8-e834ad092e9a:passport_pink.png,attachment:fa365380-7684-4a92-ba27-a1534871510c:passport_red.png,attachment:8addc1c2-dd05-4284-add3-3a40b2bd74f9:passport_blue.png,attachment:430d60ea-4fa9-4fea-a440-3c6a0a8f1a98:passport_green.png,attachment:13a9f856-871a-4cd8-9fe8-5adbae9b0e68:passport_white.png,attachment:9fe70253-e00a-486d-80b5-22d280c007cc:passport_grey.png,attachment:6a8360e7-6d19-41fb-996a-3bf3c581e07c:passport_purple.png,attachment:ecc6c0da-81e2-441b-aeac-4d7886de1c73:passport_lime_green.png,attachment:87dd16c9-b9f1-4fb2-b6da-89c6455098c9:passport_1_bit_white_and_red_v2.png,attachment:849befb3-525b-4d2e-99a8-e39f2f3e7133:passport_1_bit_pink_v2.png,attachment:b3e4475f-9686-4b06-b5d5-b7f327d06cf9:passport_1_bit_green_v2.png,attachment:d3e8cc9a-2758-4a2c-94b4-f33c29348fa7:passport_1_bit_black_and_white_v2.png","9,9,9,9,9,9,8,8,8,8,6,6,6,6","256,256,256,256,256,256,128,128,128,128,32,32,32,32","11.76%,11.76%,11.76%,11.76%,11.76%,11.76%,5.88%,5.88%,5.88%,5.88%,1.47%,1.47%,1.47%,1.47%",,,"Rare,Rare,Rare,Rare,Rare,Rare,Epic,Epic,Epic,Epic,Legendary,Legendary,Legendary,Legendary"
Sticks & Stones,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png","9,9","256,256","50%,50%",,"Tunnel of Trees (https://www.notion.so/Tunnel-of-Trees-1b90220c388481e988d7d46388d9f0ad?pvs=21), Restricted Area (https://www.notion.so/Restricted-Area-1b90220c38848143960fc14988a12420?pvs=21), Road To Labs (https://www.notion.so/Road-To-Labs-1b90220c388481279a19f9d9ee1ce4c5?pvs=21)","Common,Common"
Sticks & Cones,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Pine Cone (https://www.notion.so/Pine-Cone-1980220c388481d497cce0dcebb74e07?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/50ba073b-97de-4590-b48b-6efa0af70a35/pine_cone_native.png","9,7","256,64","80%,20%",,"Forest Entrance (https://www.notion.so/Forest-Entrance-1b90220c3884812dabe7c000b911a31e?pvs=21), Hollow Path (https://www.notion.so/Hollow-Path-1b90220c388481acb359e157428396ab?pvs=21)","Common,Uncommon"
Stick Cone Poppy,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Pine Cone (https://www.notion.so/Pine-Cone-1980220c388481d497cce0dcebb74e07?pvs=21), Black Poppy (https://www.notion.so/Black-Poppy-1980220c38848186b718ea3a17c69348?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/50ba073b-97de-4590-b48b-6efa0af70a35/pine_cone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/d042b778-57b3-454e-a323-536a90f1e152/black_poppy_native.png","9,7,2","256,64,2","79.5%,19.88%,0.62%",,"Forest: Old Growth (https://www.notion.so/Forest-Old-Growth-1b90220c38848187b606e03c1fa5b40d?pvs=21), Elder Path (https://www.notion.so/Elder-Path-1b90220c3884814bb2deef658a4de165?pvs=21)","Common,Uncommon,Rare"
Stick Stone Cone,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Pine Cone (https://www.notion.so/Pine-Cone-1980220c388481d497cce0dcebb74e07?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/50ba073b-97de-4590-b48b-6efa0af70a35/pine_cone_native.png","9,9,6","256,256,32","47.06%,47.06%,5.88%",,River Crossing (https://www.notion.so/River-Crossing-1b90220c388481408998db6e12749e88?pvs=21),"Common,Common,Uncommon"
Stick Cone Amber,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Pine Cone (https://www.notion.so/Pine-Cone-1980220c388481d497cce0dcebb74e07?pvs=21), Red Amber Crystal (https://www.notion.so/Red-Amber-Crystal-1980220c38848119bc64da640398c467?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/50ba073b-97de-4590-b48b-6efa0af70a35/pine_cone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/bc6e5a19-29c3-491e-a84a-b081c6be2980/red_amber_crystal_native.png","9,7,4","256,64,8","78.05%,19.51%,2.44%",,Blooming Tree (https://www.notion.so/Blooming-Tree-1b90220c3884817a8bf5d5f0f4a02a7c?pvs=21),"Common,Uncommon,Epic"
Stick Stone Daffodil,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Daffodil (https://www.notion.so/Daffodil-1980220c3884818a88dbdb2cebbfbcd2?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/76fdec0b-b723-4d68-95c1-6dfb14ea6e47/daffodil_native.png","9,9,8","256,256,128","40%,40%,20%",,Shady Path (https://www.notion.so/Shady-Path-1b90220c3884815d9a02fe23cf86299e?pvs=21),"Common,Common,Uncommon"
Stick Stone Mint,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Mint (https://www.notion.so/Mint-1980220c38848146832ce62e852b1ce4?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/d2fb3c5a-b076-4672-97e6-9770c108bff3/mint_native.png","9,9,4","256,256,8","49.23%,49.23%,1.54%",,Clearing (https://www.notion.so/Clearing-1b90220c38848155a115df2a229cee16?pvs=21),"Common,Common,Epic"
Stick Stone Rename,Node,"Wooden Stick (https://www.notion.so/Wooden-Stick-1980220c38848170a107f07f797ae367?pvs=21), Stone (https://www.notion.so/Stone-1980220c388481b69b72c03c74da514b?pvs=21), Holy Dust (https://www.notion.so/Holy-Dust-1980220c38848170b8ecdd102cdb8e66?pvs=21)","https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/afe600f8-2404-4be9-9cb3-8d17ae800cbb/wooden_stick_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/aad35707-85dd-4d6d-ba42-182192038a87/stone_native.png,https://prod-files-secure.s3.us-west-2.amazonaws.com/77dcb805-16cc-44e2-aeb5-6ae99e82accf/0ffce8b6-750d-4bc6-beaf-d4b494f502e0/holy_dust_native.png","9,9,4","256,256,8","49.23%,49.23%,1.54%",,Torii Gate (https://www.notion.so/Torii-Gate-1b90220c38848186a21aff98ce78aae8?pvs=21),"Common,Common,Rare"
