.,Index,Name,Tree,Description,Tier,Tree req,Max,Cost,Effect,Value,Units,Exclusion
,111,Aggression,Predator,"It’s possible to deliberately stoke the fires of Violence in Kami by traumatizing them in a very specific set of ways. ",1,0,5,1,SVS,1,Stat,
,112,Grit,Predator,Refusal to die is a healthy trait.,1,0,5,1,SHS,10,Stat,
,113,Mercenary,Predator,"""Why not make some money while we’re at it?”",1,0,5,1,ASR,0.02,Percent,
,121,Professional,Predator,A true professional understands how to play to their strengths.,2,5,5,1,ATR,0.05,Percent,
,122,Cruelty,Predator,"Baby shark, doo-doo, doo-doo, doo-doo.",2,5,5,1,ATS,0.02,Percent,
,123,Sniper,Predator,Careful assessment can allow a Kami to move into a Node more quickly. A product of experience…,2,5,5,1,CS,-10,Seconds,
,131,Warmonger,Predator,"More fighting, more violence, more fighting, more violence. ",3,15,1,1,SVS,3,Stat,"132, 133"
,132,Vampire,Predator,"Edward Kamin, but sexier…",3,15,1,1,DSR,0.06,Percent,"131, 133"
,133,Bandit,Predator,It isn’t so much a profession as it is a way of life.,3,15,1,1,ASR,0.06,Percent,"131, 132"
,141,Hungry,Predator,"You just want it more. ",4,20,5,1,SPS,1,Stat,
,142,Brutality,Predator,"Sheer will-to-hurt continues to go a long way. ",4,20,5,1,ATS,0.02,Percent,
,143,Marksman,Predator,"Though the craft has evolved with its medium, swift killing remains a cherished art form.",4,20,5,1,CS,-10,Seconds,
,151,Specialist,Predator,Some Kami are particularly talented at preying on the weaknesses of others. They’re just like human beings in that way.,5,30,5,1,ATR,0.05,Percent,
,152,First Aid,Predator,"Your Kami is always ready to bandage up in case of a counter-liquidation…. Meaning they can hold on to a little more musu. ",5,30,5,1,DSR,0.02,Percent,
,153,Bounty Hunter,Predator,"Your Kami is really, really good at milking all possible profit from their targets. ",5,30,5,1,ASR,0.02,Percent,
,161,Warlord,Predator,"A paragon of pure aggression. This Kamigotchi will overpower almost any other when it comes to raw strength. ",6,40,1,1,SVS,5,Stat,"162, 163"
,162,Lethality,Predator,"Liquidating a Kamigotchi requires a certain firmness of intent. This is that kind of intent. ",6,40,1,1,ATS,0.1,Percent,"161, 163"
,163,Assassin,Predator,"A fully-trained Assassin can enter a node almost instantly. The complacent should live in fear.  ",6,40,1,1,CS,-50,Seconds,"161, 162"
,211,Self Care,Enlightened,Did you drink water today? Please drink water.,1,0,5,1,RMB,0.05,Percent,
,212,Cardio,Enlightened,"While Kamigotchi aren’t exactly material beings, regular exercise has been proven to improve their stamina. We’re not sure why.",1,0,5,1,SHS,10,Stat,
,213,Good Constitution,Enlightened,"Some texts from the old world refer to a similar concept, roughly translated as “breedability.”",1,0,5,1,HFB,0.06,Percent,
,221,Focus,Enlightened,"It’s important to focus one’s mind on the bags. ",2,5,5,1,HBB,0.04,Percent,
,222,Meditative Breathing,Enlightened,"The Buteyko method emphasizes the importance of nasal breathing, which protects the airways by humidifying, warming, and cleaning the air entering the lungs.",2,5,5,1,DTS,0.02,Percent,
,223,Concentration,Enlightened,"With enough concentration Kamigotchi can stave off their own death if only for a bit longer. ",2,5,5,1,SB,-0.025,Percent,
,231,Sleep Hygiene,Enlightened,An element of self care. Investing in it is known to help recover one’s energy levels and physical health.,3,15,1,1,RMB,0.15,Percent,"232, 233"
,232,Warmup Exercise,Enlightened,Even a light warmup can offer a significant edge in physically intensive activities.,3,15,1,1,HIB,15,MUSU/hr,"231, 233"
,233,Advanced Mewing,Enlightened,Your jawline never looked so good.,3,15,1,1,HFB,0.18,Percent,"231, 232"
,241,Momentum,Enlightened,One does not simply achieve higher states of mind. Only after struggle and release.,4,20,5,1,HBB,0.04,Percent,
,242,Therapy,Enlightened,"Or, for boys, why not blast your music while going 120mph on the highway? You don’t need this.",4,20,5,1,DTS,0.02,Percent,
,243,Endurance,Enlightened,"Like many of life’s trials, Musu harvesting is often more of a marathon than a sprint.",4,20,5,1,SB,-0.025,Percent,
,251,Regeneration,Enlightened,Wolverine can do it. Starfish and salamanders can too. Stop saying “can’t” you pathetic nugget.,5,30,5,1,RMB,0.05,Percent,
,252,Workout Routine,Enlightened,5 day split for the Serious builders.,5,30,5,1,HIB,5,MUSU/hr,
,253,Productivity,Enlightened,"You get things done. ",5,30,5,1,HFB,0.06,Percent,
,261,Wu Wei,Enlightened,"Mastery of action-without-action allows you to make a little more money, with no effort. Not bad. ",6,40,1,1,HBB,0.2,Percent,"262, 263"
,262,Spin Class,Enlightened,"Cardio for the hardcore. ",6,40,1,1,SHS,50,Stat,"261, 262"
,263,Immortality,Enlightened,In the same way that gliding is flying.,6,40,1,1,SB,-0.125,Percent,"261, 262"
,311,Defensiveness,Guardian,Training a Kamigotchi in a certain degree of closed-mindedness can help to maintain inner peace.,1,0,5,1,SYS,1,Stat,
,312,Toughness,Guardian,Without any milk.,1,0,5,1,SHS,10,Stat,
,313,Patience,Guardian,Your Kamigotchi believes the virtuous should be rewarded.,1,0,5,1,HIB,5,MUSU/hr,
,321,Meticulous,Guardian,"When preparing for the worst, the details matter.",2,5,5,1,DTR,0.05,Percent,
,322,Vigor,Guardian,"All forms, especially libido, are a sign of good health.",2,5,5,1,SHS,10,Stat,
